	subject_ID	RT	Condition	Display_Size
395	3	1003.1	disjunction_negative	1
396	3	1060.5	disjunction_negative	1
397	3	1363.9	disjunction_negative	1
398	3	1607.3	disjunction_negative	30
399	3	1345.3	disjunction_negative	5
400	3	1013.9	disjunction_negative	5
401	3	1415.0	disjunction_negative	1
402	3	1096.1	disjunction_negative	5
403	3	1118.8	disjunction_negative	1
404	3	1500.2	disjunction_negative	15
405	3	1338.0	disjunction_negative	15
406	3	1524.6	disjunction_negative	15
407	3	1952.7	disjunction_negative	15
408	3	1468.5	disjunction_negative	1
409	3	796.0	disjunction_negative	1
410	3	1926.4	disjunction_negative	30
411	3	1243.4	disjunction_negative	1
412	3	1539.9	disjunction_negative	5
413	3	1616.2	disjunction_negative	1
414	3	1964.0	disjunction_negative	30
415	3	1473.9	disjunction_negative	5
416	3	871.8	disjunction_negative	1
417	3	1599.2	disjunction_negative	1
418	3	920.7	disjunction_negative	1
419	3	1326.1	disjunction_negative	15
420	3	1267.2	disjunction_negative	15
421	3	1370.2	disjunction_negative	5
422	3	848.7	disjunction_negative	15
423	3	1094.3	disjunction_negative	1
424	3	924.7	disjunction_negative	5
425	3	1474.0	disjunction_negative	5
426	3	879.5	disjunction_negative	5
427	3	911.4	disjunction_negative	1
428	3	1430.6	disjunction_negative	15
429	3	1158.9	disjunction_negative	1
430	3	964.2	disjunction_negative	1
431	3	1739.4	disjunction_negative	15
432	3	1428.2	disjunction_negative	15
433	3	1286.2	disjunction_negative	15
434	3	991.7	disjunction_negative	1
435	3	1582.9	disjunction_negative	5
436	3	1689.5	disjunction_negative	30
437	3	1165.7	disjunction_negative	30
438	3	1321.4	disjunction_negative	15
439	3	1261.7	disjunction_negative	30
440	3	1061.4	disjunction_negative	1
441	3	1001.6	disjunction_negative	1
442	3	1254.6	disjunction_negative	5
443	3	846.9	disjunction_negative	15
444	3	1034.1	disjunction_negative	5
445	3	1242.7	disjunction_negative	1
446	3	1635.2	disjunction_negative	15
447	3	1408.6	disjunction_negative	5
448	3	1163.3	disjunction_negative	5
449	3	1335.1	disjunction_negative	30
450	3	1437.1	disjunction_negative	15
451	3	1089.4	disjunction_negative	30
452	3	1024.0	disjunction_negative	15
453	3	870.4	disjunction_negative	5
454	3	854.1	disjunction_negative	30
455	3	1005.8	disjunction_negative	5
456	3	847.7	disjunction_negative	30
457	3	1527.4	disjunction_negative	5
458	3	1491.7	disjunction_negative	30
459	3	1562.4	disjunction_negative	30
460	3	1556.7	disjunction_negative	30
461	3	1046.6	disjunction_negative	5
462	3	1174.9	disjunction_negative	30
463	3	818.2	disjunction_negative	15
464	3	853.8	disjunction_negative	1
465	3	1200.2	disjunction_negative	5
466	3	1300.5	disjunction_negative	1
467	3	1333.8	disjunction_negative	15
468	3	810.7	disjunction_negative	30
469	3	740.9	disjunction_negative	15
470	3	996.6	disjunction_negative	15
471	3	942.0	disjunction_negative	15
472	3	1213.2	disjunction_negative	30
473	3	870.7	disjunction_negative	5
474	3	1087.7	disjunction_negative	5
475	3	974.0	disjunction_negative	5
476	3	689.0	disjunction_negative	30
477	3	559.5	disjunction_negative	5
478	3	691.4	disjunction_negative	5
479	3	930.1	disjunction_negative	30
480	3	796.6	disjunction_negative	15
481	3	721.3	disjunction_negative	30
482	3	1216.4	disjunction_negative	15
483	3	1337.3	disjunction_negative	15
484	3	1378.2	disjunction_negative	30
485	3	1078.2	disjunction_negative	30
486	3	1284.8	disjunction_negative	15
487	3	699.4	disjunction_negative	30
488	3	1546.7	disjunction_negative	5
489	3	1330.7	disjunction_negative	1
490	3	998.9	disjunction_negative	1
491	3	1590.6	disjunction_negative	15
492	3	1654.9	disjunction_negative	30
493	3	1131.7	disjunction_negative	1
494	3	1672.0	disjunction_negative	30
495	3	1276.6	disjunction_negative	15
496	3	824.6	disjunction_negative	5
497	3	1472.8	disjunction_negative	15
498	3	1088.0	disjunction_negative	5
499	3	1439.6	disjunction_negative	1
500	3	1311.3	disjunction_negative	30
501	3	997.0	disjunction_negative	1
502	3	808.0	disjunction_negative	1
503	3	994.8	disjunction_negative	5
504	3	942.5	disjunction_negative	1
505	3	1235.0	disjunction_negative	1
506	3	1181.7	disjunction_negative	1
507	3	1469.8	disjunction_negative	30
508	3	883.6	disjunction_negative	5
509	3	1128.9	disjunction_negative	15
510	3	1364.8	disjunction_negative	15
511	3	1133.0	disjunction_negative	1
512	3	1545.0	disjunction_negative	15
513	3	1190.0	disjunction_negative	1
514	3	1038.2	disjunction_negative	5
515	3	1555.6	disjunction_negative	30
516	3	1300.4	disjunction_negative	1
517	3	1394.0	disjunction_negative	30
518	3	963.7	disjunction_negative	1
519	3	1177.0	disjunction_negative	5
520	3	1235.8	disjunction_negative	5
521	3	1596.5	disjunction_negative	30
522	3	1675.4	disjunction_negative	15
523	3	1026.8	disjunction_negative	1
524	4	1499.1	disjunction_negative	30
525	4	968.8	disjunction_negative	5
526	4	588.0	disjunction_negative	5
527	4	862.8	disjunction_negative	15
528	4	790.3	disjunction_negative	15
529	4	623.5	disjunction_negative	5
530	4	632.3	disjunction_negative	1
531	4	595.5	disjunction_negative	15
532	4	628.9	disjunction_negative	5
533	4	789.9	disjunction_negative	15
534	4	784.4	disjunction_negative	15
535	4	715.3	disjunction_negative	15
536	4	872.2	disjunction_negative	15
537	4	810.9	disjunction_negative	5
538	4	507.8	disjunction_negative	5
539	4	753.2	disjunction_negative	1
540	4	829.2	disjunction_negative	5
541	4	694.3	disjunction_negative	5
542	4	548.9	disjunction_negative	5
543	4	667.0	disjunction_negative	1
544	4	722.4	disjunction_negative	1
545	4	599.2	disjunction_negative	5
546	4	950.7	disjunction_negative	30
547	4	1050.6	disjunction_negative	5
548	4	746.4	disjunction_negative	15
549	4	759.5	disjunction_negative	1
550	4	610.8	disjunction_negative	15
551	4	533.2	disjunction_negative	5
552	4	553.3	disjunction_negative	5
553	4	588.2	disjunction_negative	5
554	4	949.4	disjunction_negative	5
555	4	717.9	disjunction_negative	5
556	4	459.5	disjunction_negative	1
557	4	483.3	disjunction_negative	1
558	4	866.0	disjunction_negative	15
559	4	705.7	disjunction_negative	30
560	4	1023.3	disjunction_negative	15
