Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	positive	1	T_blue	incorrect	F	118635	2	90355	1	118841	1	0	next
disjunction	negative	15	Null	hit	F	79261	2	234530	1	79338	1	0	next
disjunction	negative	30	Null	hit	F	62592	2	339204	1	62671	1	0	next
disjunction	positive	1	S_green	hit	J	59230	2	427210	1	59337	1	0	next
disjunction	positive	5	T_blue	hit	J	63517	2	511882	1	63671	1	0	next
disjunction	negative	15	Null	hit	F	48756	2	600887	1	48836	1	0	next
disjunction	negative	5	Null	hit	F	42746	2	675059	1	42836	1	0	next
disjunction	negative	1	Null	hit	F	24175	2	743230	1	24335	1	0	next
disjunction	negative	30	Null	hit	F	53388	2	792900	1	53503	1	0	next
disjunction	negative	1	Null	hit	F	46071	2	871738	1	46170	1	0	next
disjunction	negative	5	Null	hit	F	56487	2	943243	1	56670	1	0	next
disjunction	negative	30	Null	hit	F	53042	2	1025248	1	53170	1	0	next
disjunction	positive	30	S_green	hit	J	19502	2	1103753	1	19668	1	0	next
disjunction	negative	30	Null	hit	F	36737	2	1148756	1	36836	1	0	next
disjunction	positive	5	S_brown	hit	J	68011	2	1210927	1	68171	1	0	next
disjunction	positive	5	S_green	hit	J	33068	2	1304432	1	33169	1	0	next
disjunction	positive	30	S_brown	hit	J	8326	2	1362936	1	8501	1	0	next
disjunction	positive	1	T_blue	incorrect	F	12889	2	1396772	1	13001	1	0	next
disjunction	negative	15	Null	hit	F	39353	2	1435108	1	39503	1	0	next
disjunction	positive	5	X_blue	hit	J	21560	2	1499945	1	21668	1	0	next
disjunction	negative	1	Null	hit	F	11995	2	1546948	1	12167	1	0	next
disjunction	positive	5	X_blue	hit	J	16257	2	1584450	1	16334	1	0	next
disjunction	positive	1	T_blue	hit	J	19229	2	1626120	1	19335	1	0	next
disjunction	positive	15	S_green	hit	J	21599	2	1670789	1	21668	1	0	next
disjunction	negative	30	Null	hit	F	61955	2	1717792	1	62004	1	0	next
disjunction	negative	5	Null	hit	F	13818	2	1805131	1	14001	1	0	next
disjunction	positive	30	T_blue	hit	J	27126	2	1844467	1	27168	1	0	next
disjunction	positive	30	S_brown	hit	J	74466	2	1896971	1	74671	1	0	next
disjunction	negative	30	Null	hit	F	26621	2	1996977	1	26668	1	0	next
disjunction	negative	1	Null	hit	F	30621	2	2048980	1	30669	1	0	next
disjunction	negative	5	Null	hit	F	51738	2	2104984	1	51837	1	0	next
disjunction	negative	15	Null	hit	F	51207	2	2182156	1	51337	1	0	next
disjunction	positive	30	S_green	hit	J	13254	2	2258827	1	13334	1	0	next
disjunction	negative	1	Null	hit	F	10589	2	2297496	1	10667	1	0	next
disjunction	negative	5	Null	hit	F	14585	2	2333499	1	14668	1	0	next
disjunction	positive	5	S_green	hit	J	34907	2	2373501	1	35002	1	0	next
disjunction	negative	5	Null	hit	F	15687	2	2433838	1	15834	1	0	next
disjunction	positive	30	X_blue	hit	J	26045	2	2475008	1	26168	1	0	next
disjunction	negative	15	Null	hit	F	31818	2	2526511	1	32002	1	0	next
disjunction	positive	30	S_brown	hit	J	15285	2	2583848	1	15334	1	0	next
disjunction	positive	1	T_blue	incorrect	F	37333	2	2624517	1	37502	1	0	next
disjunction	positive	5	X_blue	hit	J	9380	2	2687355	1	9501	1	0	next
disjunction	positive	30	X_blue	hit	J	7184	2	2722190	1	7334	1	0	next
disjunction	positive	15	S_green	hit	J	37718	2	2754859	1	37836	1	0	next
disjunction	positive	1	X_blue	hit	J	9269	2	2818030	1	9334	1	0	next
disjunction	positive	1	X_blue	hit	J	6279	2	2852699	1	6334	1	0	next
disjunction	positive	5	X_blue	hit	J	6448	2	2884367	1	6500	1	0	next
disjunction	negative	15	Null	hit	F	22777	2	2916203	1	22835	1	0	next
disjunction	positive	1	S_green	hit	J	9006	2	2964372	1	9167	1	0	next
disjunction	positive	15	X_blue	hit	J	8108	2	2998875	1	8167	1	0	next
disjunction	negative	15	Null	hit	F	33328	2	3032377	1	33502	1	0	next
disjunction	positive	5	X_blue	hit	J	8248	2	3091214	1	8334	1	0	next
disjunction	negative	30	Null	hit	F	81785	2	3124883	1	81839	1	0	next
disjunction	positive	1	S_green	hit	J	22935	2	3232056	1	23001	1	0	next
disjunction	positive	15	S_brown	incorrect	F	49798	2	3280393	1	50003	1	0	next
disjunction	negative	30	Null	hit	F	21020	2	3355731	1	21168	1	0	next
disjunction	positive	30	X_blue	hit	J	10517	2	3402234	1	10667	1	0	next
disjunction	negative	5	Null	hit	F	31478	2	3438236	1	31669	1	0	next
disjunction	negative	15	Null	hit	F	47915	2	3495240	1	48003	1	0	next
disjunction	positive	5	S_green	hit	J	26417	2	3568578	1	26502	1	0	next
disjunction	positive	30	S_brown	hit	J	8661	2	3620414	1	8834	1	0	next
disjunction	positive	15	S_brown	hit	J	6332	2	3654583	1	6500	1	0	next
disjunction	negative	15	Null	hit	F	13538	2	3686419	1	13668	1	0	next
disjunction	negative	30	Null	hit	F	29736	2	3725421	1	29835	1	0	next
disjunction	positive	5	X_blue	hit	J	8491	2	3780591	1	8667	1	0	next
disjunction	negative	1	Null	hit	F	10650	2	3814594	1	10834	1	0	next
disjunction	positive	5	T_blue	hit	J	18802	2	3850763	1	19001	1	0	next
disjunction	negative	1	Null	hit	F	9183	2	3895099	1	9334	1	0	next
disjunction	negative	15	Null	hit	F	23319	2	3929768	1	23502	1	0	next
disjunction	negative	15	Null	hit	F	58163	2	3978604	1	58337	1	0	next
disjunction	positive	15	T_blue	hit	J	7616	2	4062276	1	7667	1	0	next
disjunction	positive	1	T_blue	hit	J	6451	2	4095278	1	6500	1	0	next
disjunction	negative	30	Null	hit	F	37498	2	4127114	1	37669	1	0	next
disjunction	negative	30	Null	hit	F	14975	2	4190118	1	15168	1	0	next
disjunction	positive	1	S_brown	hit	J	13030	2	4230620	1	13168	1	0	next
disjunction	positive	1	X_blue	hit	J	8773	2	4269123	1	8834	1	0	next
disjunction	negative	1	Null	hit	F	51085	2	4303292	1	51170	1	0	next
disjunction	positive	1	S_brown	hit	J	9942	2	4379797	1	10001	1	0	next
disjunction	negative	5	Null	hit	F	29963	2	4415132	1	30002	1	0	next
disjunction	positive	1	S_green	hit	J	38311	2	4470469	1	38502	1	0	next
disjunction	positive	1	S_green	hit	J	39274	2	4534307	1	39336	1	0	next
disjunction	positive	30	X_blue	hit	J	7725	2	4598977	1	7834	1	0	next
disjunction	positive	1	S_green	hit	J	49599	2	4632146	1	49670	1	0	next
disjunction	positive	5	T_blue	hit	J	15236	2	4707151	1	15334	1	0	next
disjunction	negative	30	Null	hit	F	28325	2	4747820	1	28502	1	0	next
disjunction	negative	5	Null	hit	F	11932	2	4801657	1	12001	1	0	next
disjunction	positive	30	S_brown	hit	J	15398	2	4838993	1	15501	1	0	next
disjunction	negative	1	Null	hit	F	49920	2	4879829	1	50003	1	0	next
disjunction	positive	5	X_blue	hit	J	9305	2	4955167	1	9501	1	0	next
disjunction	positive	30	X_blue	hit	J	6791	2	4990002	1	6834	1	0	next
disjunction	negative	5	Null	hit	F	13179	2	5022171	1	13334	1	0	next
disjunction	positive	5	S_green	hit	J	10035	2	5060840	1	10167	1	0	next
disjunction	negative	1	Null	incorrect	J	8292	2	5096343	1	8334	1	0	next
disjunction	positive	5	S_brown	hit	J	19266	2	5130011	1	19335	1	0	next
disjunction	positive	30	S_brown	hit	J	10277	2	5174681	1	10334	1	0	next
disjunction	positive	15	T_blue	hit	J	7568	2	5210350	1	7667	1	0	next
disjunction	positive	15	S_green	incorrect	F	16969	2	5243352	1	17168	1	0	next
disjunction	negative	1	Null	hit	F	16547	2	5285855	1	16668	1	0	next
disjunction	positive	30	T_blue	hit	J	7023	2	5327857	1	7167	1	0	next
disjunction	negative	30	Null	hit	F	21080	2	5360359	1	21168	1	0	next
disjunction	negative	30	Null	hit	F	14742	2	5406862	1	14834	1	0	next
disjunction	positive	15	S_green	hit	J	77292	2	5447032	1	77338	1	0	next
disjunction	negative	5	Null	hit	F	11585	2	5549705	1	11667	1	0	next
disjunction	positive	30	T_blue	hit	J	14261	2	5586707	1	14334	1	0	next
disjunction	positive	15	T_blue	hit	J	5952	2	5626377	1	6000	1	0	next
disjunction	positive	15	T_blue	hit	J	3737	2	5657712	1	3834	1	0	next
disjunction	negative	5	Null	hit	F	27051	2	5686880	1	27168	1	0	next
disjunction	negative	15	Null	hit	F	24309	2	5739384	1	24502	1	0	next
disjunction	negative	5	Null	hit	F	28230	2	5789220	1	28335	1	0	next
disjunction	negative	30	Null	hit	F	28162	2	5842890	1	28335	1	0	next
disjunction	positive	15	S_brown	hit	J	11455	2	5896561	1	11501	1	0	next
disjunction	negative	1	Null	hit	F	12061	2	5933396	1	12167	1	0	next
disjunction	positive	15	S_brown	hit	J	7838	2	5970899	1	8001	1	0	next
disjunction	negative	5	Null	hit	F	11144	2	6004234	1	11334	1	0	next
disjunction	negative	15	Null	hit	F	33515	2	6040903	1	33669	1	0	next
disjunction	negative	15	Null	hit	F	9073	2	6099907	1	9167	1	0	next
disjunction	negative	1	Null	hit	F	6570	2	6134409	1	6667	1	0	next
disjunction	negative	30	Null	hit	F	18248	2	6166411	1	18335	1	0	next
disjunction	negative	5	Null	hit	F	5626	2	6210081	1	5667	1	0	next
disjunction	positive	15	S_brown	hit	J	12379	2	6241083	1	12501	1	0	next
disjunction	negative	1	Null	hit	F	30386	2	6278918	1	30502	1	0	next
disjunction	positive	15	S_brown	hit	J	6394	2	6334755	1	6500	1	0	next
disjunction	positive	15	T_blue	hit	J	12317	2	6366591	1	12501	1	0	next
disjunction	negative	5	Null	hit	F	14162	2	6404426	1	14334	1	0	next
disjunction	negative	1	Null	hit	F	7296	2	6444096	1	7334	1	0	next
disjunction	negative	1	Null	hit	F	4385	2	6476764	1	4500	1	0	next
disjunction	negative	15	Null	hit	F	16310	2	6506600	1	16501	1	0	next
disjunction	negative	15	Null	hit	F	10955	2	6548436	1	11001	1	0	next
conjunction	positive	5	T_green	incorrect	F	107999	2	6614440	1	108174	1	0	next
conjunction	negative	1	Null	hit	F	46808	2	6747949	1	47003	1	0	next
conjunction	positive	30	T_green	incorrect	F	63592	2	6820287	1	63671	1	0	next
conjunction	negative	1	Null	hit	F	31068	2	6909292	1	31169	1	0	next
conjunction	negative	5	Null	hit	F	9444	2	6965796	1	9501	1	0	next
conjunction	positive	5	T_green	incorrect	F	17171	2	7000631	1	17334	1	0	next
conjunction	negative	1	Null	hit	F	12904	2	7043301	1	13001	1	0	next
conjunction	positive	1	T_green	incorrect	F	6406	2	7081637	1	6500	1	0	next
conjunction	positive	30	T_green	hit	J	36013	2	7113472	1	36169	1	0	next
conjunction	positive	30	T_green	hit	J	15312	2	7174976	1	15501	1	0	next
conjunction	negative	1	Null	hit	F	9514	2	7215812	1	9667	1	0	next
conjunction	positive	30	T_green	incorrect	F	40758	2	7250814	1	40836	1	0	next
conjunction	positive	1	T_green	hit	J	13303	2	7316985	1	13501	1	0	next
conjunction	negative	30	Null	hit	F	97831	2	7355821	1	98006	1	0	next
conjunction	negative	5	Null	hit	F	59774	2	7479162	1	59837	1	0	next
