Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	positive	1	X_blue	hit	J	7674	2	124385	1	7834	1	0	next
disjunction	positive	1	X_blue	hit	J	7423	2	157553	1	7501	1	0	next
disjunction	negative	5	Null	hit	F	11055	2	190389	1	11167	1	0	next
disjunction	positive	5	S_brown	hit	J	8831	2	226891	1	9001	1	0	next
disjunction	positive	30	S_brown	hit	J	9672	2	261227	1	9834	1	0	next
disjunction	positive	15	T_blue	hit	J	7484	2	296396	1	7667	1	0	next
disjunction	negative	1	Null	hit	F	7776	2	329398	1	7834	1	0	next
disjunction	negative	30	Null	hit	F	15758	2	362567	1	15834	1	0	next
disjunction	negative	1	Null	hit	F	6958	2	403736	1	7000	1	0	next
disjunction	positive	1	S_green	hit	J	7706	2	436071	1	7834	1	0	next
disjunction	positive	5	X_blue	hit	J	4095	2	469240	1	4167	1	0	next
disjunction	negative	30	Null	hit	F	10831	2	498742	1	11001	1	0	next
disjunction	positive	5	S_brown	hit	J	9629	2	535078	1	9667	1	0	next
disjunction	negative	5	Null	hit	F	8910	2	570080	1	9001	1	0	next
disjunction	positive	1	X_blue	hit	J	4527	2	604415	1	4667	1	0	next
disjunction	negative	15	Null	hit	F	9419	2	634417	1	9501	1	0	next
disjunction	positive	15	X_blue	hit	J	9272	2	669253	1	9334	1	0	next
disjunction	positive	15	T_blue	hit	J	5148	2	703922	1	5334	1	0	next
disjunction	negative	15	Null	hit	F	10765	2	734590	1	10834	1	0	next
disjunction	negative	5	Null	hit	F	6650	2	770759	1	6834	1	0	next
disjunction	positive	5	S_brown	hit	J	8045	2	802928	1	8167	1	0	next
disjunction	negative	15	Null	hit	F	10654	2	836430	1	10834	1	0	next
disjunction	positive	15	S_green	incorrect	F	9461	2	872599	1	9501	1	0	next
disjunction	negative	15	Null	hit	F	10353	2	907435	1	10501	1	0	next
disjunction	negative	1	Null	hit	F	6840	2	943270	1	7000	1	0	next
disjunction	negative	15	Null	hit	F	5846	2	975606	1	6000	1	0	next
disjunction	negative	5	Null	incorrect	J	9066	2	1006941	1	9167	1	0	next
disjunction	negative	1	Null	hit	F	5788	2	1041443	1	5834	1	0	next
disjunction	negative	5	Null	hit	F	5026	2	1072612	1	5167	1	0	next
disjunction	positive	5	T_blue	hit	J	6409	2	1103114	1	6500	1	0	next
disjunction	negative	1	Null	hit	F	6465	2	1134949	1	6667	1	0	next
disjunction	positive	30	S_green	hit	J	10641	2	1166952	1	10834	1	0	next
disjunction	negative	1	Null	hit	F	6887	2	1203121	1	7000	1	0	next
disjunction	negative	5	Null	hit	F	5862	2	1235456	1	6000	1	0	next
disjunction	negative	30	Null	hit	F	8438	2	1266791	1	8501	1	0	next
disjunction	negative	5	Null	hit	F	6201	2	1300627	1	6334	1	0	next
disjunction	negative	15	Null	hit	F	5098	2	1332296	1	5167	1	0	next
disjunction	negative	15	Null	hit	F	4677	2	1362797	1	4834	1	0	next
disjunction	negative	1	Null	hit	F	7190	2	1392966	1	7334	1	0	next
disjunction	negative	1	Null	hit	F	4765	2	1425635	1	4834	1	0	next
disjunction	positive	5	S_green	incorrect	F	8521	2	1455803	1	8667	1	0	next
disjunction	negative	1	Null	hit	F	5196	2	1489806	1	5334	1	0	next
disjunction	negative	30	Null	hit	F	5608	2	1520474	1	5667	1	0	next
disjunction	positive	5	S_green	hit	J	5247	2	1551476	1	5334	1	0	next
disjunction	negative	15	Null	hit	F	4926	2	1582145	1	5000	1	0	next
disjunction	negative	15	Null	hit	F	6537	2	1612480	1	6667	1	0	next
disjunction	positive	5	S_green	hit	J	4119	2	1644482	1	4167	1	0	next
disjunction	positive	30	X_blue	hit	J	5790	2	1673984	1	5834	1	0	next
disjunction	negative	5	Null	hit	F	10723	2	1705153	1	10834	1	0	next
disjunction	positive	5	X_blue	hit	J	6788	2	1741322	1	6834	1	0	next
disjunction	positive	15	X_blue	hit	J	4533	2	1773490	1	4667	1	0	next
disjunction	negative	5	Null	hit	F	7222	2	1803492	1	7334	1	0	next
disjunction	negative	1	Null	hit	F	6286	2	1836161	1	6334	1	0	next
disjunction	negative	1	Null	hit	F	5027	2	1867830	1	5167	1	0	next
disjunction	positive	30	S_brown	hit	J	6948	2	1898332	1	7000	1	0	next
disjunction	positive	1	S_green	incorrect	F	6452	2	1930667	1	6500	1	0	next
disjunction	positive	30	T_blue	hit	J	5624	2	1962503	1	5667	1	0	next
disjunction	positive	1	T_blue	hit	J	4204	2	1993505	1	4334	1	0	next
disjunction	negative	30	Null	hit	F	5574	2	2023173	1	5667	1	0	next
disjunction	positive	1	S_brown	hit	J	6262	2	2054175	1	6334	1	0	next
disjunction	negative	1	Null	hit	F	6851	2	2085844	1	7000	1	0	next
disjunction	negative	5	Null	hit	F	9268	2	2118179	1	9334	1	0	next
disjunction	positive	30	X_blue	hit	J	6187	2	2152848	1	6334	1	0	next
disjunction	positive	15	S_brown	hit	J	10132	2	2184517	1	10167	1	0	next
disjunction	positive	5	T_blue	hit	J	7330	2	2220019	1	7500	1	0	next
disjunction	negative	15	Null	hit	F	7230	2	2252855	1	7334	1	0	next
disjunction	positive	5	T_blue	hit	J	5138	2	2285523	1	5167	1	0	next
disjunction	positive	15	S_green	incorrect	F	6898	2	2316025	1	7000	1	0	next
disjunction	negative	15	Null	incorrect	J	7363	2	2348361	1	7501	1	0	next
disjunction	negative	15	Null	hit	F	8580	2	2381196	1	8667	1	0	next
disjunction	positive	15	S_green	hit	J	7284	2	2415198	1	7334	1	0	next
disjunction	negative	15	Null	hit	F	7275	2	2447867	1	7334	1	0	next
disjunction	negative	15	Null	hit	F	6176	2	2480536	1	6334	1	0	next
disjunction	negative	30	Null	hit	F	6935	2	2512205	1	7000	1	0	next
disjunction	positive	1	S_brown	hit	J	4408	2	2544540	1	4500	1	0	next
disjunction	positive	1	X_blue	incorrect	F	3884	2	2574375	1	4000	1	0	next
disjunction	positive	15	S_green	hit	J	4924	2	2603710	1	5000	1	0	next
disjunction	positive	15	X_blue	hit	J	5463	2	2634046	1	5667	1	0	next
disjunction	negative	1	Null	hit	F	6530	2	2665048	1	6667	1	0	next
disjunction	positive	1	T_blue	hit	J	4401	2	2697050	1	4500	1	0	next
disjunction	negative	15	Null	hit	F	9020	2	2726885	1	9167	1	0	next
disjunction	negative	5	Null	hit	F	5167	2	2761387	1	5334	1	0	next
disjunction	negative	5	Null	hit	F	5663	2	2792056	1	5834	1	0	next
disjunction	positive	1	S_green	hit	J	4878	2	2823225	1	5000	1	0	next
disjunction	negative	15	Null	hit	F	6457	2	2853560	1	6500	1	0	next
disjunction	positive	5	X_blue	hit	J	5007	2	2885395	1	5167	1	0	next
disjunction	negative	5	Null	hit	F	7599	2	2915897	1	7667	1	0	next
disjunction	positive	5	X_blue	hit	J	4712	2	2948899	1	4834	1	0	next
disjunction	positive	5	T_blue	hit	J	4312	2	2979068	1	4500	1	0	next
disjunction	positive	1	S_green	incorrect	F	7465	2	3008903	1	7500	1	0	next
disjunction	negative	1	Null	hit	F	10933	2	3041738	1	11001	1	0	next
disjunction	negative	5	Null	hit	F	7525	2	3078074	1	7667	1	0	next
disjunction	positive	1	S_brown	hit	J	5923	2	3111076	1	6000	1	0	next
disjunction	negative	30	Null	hit	F	5356	2	3142412	1	5500	1	0	next
disjunction	positive	1	S_brown	hit	J	4051	2	3173247	1	4167	1	0	next
disjunction	negative	30	Null	hit	F	6374	2	3202749	1	6500	1	0	next
disjunction	positive	15	S_brown	hit	J	4316	2	3234584	1	4500	1	0	next
disjunction	negative	30	Null	hit	F	7332	2	3264419	1	7500	1	0	next
disjunction	positive	30	S_green	hit	J	5110	2	3297255	1	5167	1	0	next
disjunction	positive	30	T_blue	incorrect	F	5044	2	3327757	1	5167	1	0	next
disjunction	positive	5	T_blue	hit	J	5128	2	3358259	1	5167	1	0	next
disjunction	positive	1	S_green	hit	J	5213	2	3388761	1	5334	1	0	next
