Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	positive	15	T_blue	hit	J	14249	2	123881	1	14334	1	0	next
disjunction	negative	15	Null	hit	F	8505	2	163550	1	8667	1	0	next
disjunction	negative	15	Null	hit	F	11621	2	197552	1	11667	1	0	next
disjunction	negative	1	Null	hit	F	8540	2	234555	1	8667	1	0	next
disjunction	negative	15	Null	hit	F	25740	2	268557	1	25835	1	0	next
disjunction	positive	5	X_blue	hit	J	9773	2	319727	1	9834	1	0	next
disjunction	negative	30	Null	hit	F	30286	2	354896	1	30335	1	0	next
disjunction	negative	30	Null	hit	F	25173	2	410566	1	25335	1	0	next
disjunction	negative	5	Null	hit	F	16263	2	461236	1	16334	1	0	next
disjunction	positive	5	S_green	hit	J	11718	2	502905	1	11834	1	0	next
disjunction	positive	1	X_blue	hit	J	6712	2	540074	1	6834	1	0	next
disjunction	negative	1	Null	hit	F	9585	2	572243	1	9667	1	0	next
disjunction	negative	30	Null	hit	F	23218	2	607245	1	23335	1	0	next
disjunction	negative	1	Null	incorrect	J	7029	2	655915	1	7167	1	0	next
disjunction	positive	15	T_blue	hit	J	14686	2	688417	1	14834	1	0	next
disjunction	positive	15	T_blue	hit	J	15639	2	728586	1	15834	1	0	next
disjunction	negative	30	Null	hit	F	18154	2	769756	1	18334	1	0	next
disjunction	negative	15	Null	incorrect	J	15124	2	813425	1	15168	1	0	next
disjunction	positive	5	S_brown	hit	J	9501	2	853928	1	9667	1	0	next
disjunction	positive	5	S_green	hit	J	24742	2	888930	1	24835	1	0	next
disjunction	positive	1	S_brown	hit	J	7851	2	939100	1	8001	1	0	next
disjunction	positive	5	S_brown	hit	J	11479	2	972435	1	11667	1	0	next
disjunction	positive	5	X_blue	incorrect	F	15276	2	1009438	1	15334	1	0	next
disjunction	negative	1	Null	incorrect	J	8527	2	1050107	1	8667	1	0	next
