Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	negative	30	Null	hit	F	29841	2	134397	1	30002	1	0	next
disjunction	negative	15	Null	hit	F	15463	2	189734	1	15668	1	0	next
disjunction	negative	1	Null	hit	F	12064	2	230737	1	12167	1	0	next
disjunction	negative	15	Null	hit	F	12481	2	268239	1	12668	1	0	next
disjunction	positive	1	T_blue	incorrect	F	15120	2	306242	1	15168	1	0	next
disjunction	positive	5	T_blue	hit	J	7736	2	346744	1	7834	1	0	next
disjunction	positive	5	S_green	hit	J	11048	2	379913	1	11167	1	0	next
disjunction	positive	5	T_blue	hit	J	7190	2	416415	1	7334	1	0	next
disjunction	negative	1	Null	hit	F	12121	2	449084	1	12167	1	0	next
disjunction	positive	15	X_blue	hit	J	7099	2	486586	1	7167	1	0	next
disjunction	positive	5	T_blue	hit	J	6919	2	519089	1	7000	1	0	next
disjunction	positive	5	S_green	hit	J	10264	2	551424	1	10334	1	0	next
disjunction	positive	30	T_blue	hit	J	6275	2	587093	1	6334	1	0	next
disjunction	negative	15	Null	hit	F	24686	2	618762	1	24835	1	0	next
disjunction	negative	1	Null	hit	F	17877	2	668931	1	18001	1	0	next
disjunction	negative	5	Null	hit	F	17743	2	712268	1	17834	1	0	next
disjunction	positive	1	S_green	incorrect	F	20334	2	755437	1	20501	1	0	next
disjunction	negative	1	Null	hit	F	8740	2	801273	1	8834	1	0	next
disjunction	negative	5	Null	hit	F	9130	2	835442	1	9167	1	0	next
disjunction	positive	30	X_blue	hit	J	6151	2	869944	1	6334	1	0	next
disjunction	positive	5	S_brown	hit	J	10324	2	901613	1	10501	1	0	next
disjunction	positive	1	S_green	hit	J	6327	2	937449	1	6500	1	0	next
disjunction	negative	30	Null	hit	F	19132	2	969284	1	19168	1	0	next
disjunction	positive	15	S_green	hit	J	9348	2	1013787	1	9501	1	0	next
disjunction	negative	15	Null	hit	F	19959	2	1048622	1	20001	1	0	next
disjunction	positive	30	S_green	hit	J	12544	2	1093959	1	12667	1	0	next
disjunction	negative	15	Null	hit	F	18699	2	1131961	1	18834	1	0	next
disjunction	negative	5	Null	hit	F	11169	2	1176131	1	11334	1	0	next
disjunction	positive	15	T_blue	hit	J	6181	2	1212800	1	6334	1	0	next
disjunction	positive	15	T_blue	hit	J	4915	2	1244468	1	5000	1	0	next
disjunction	negative	1	Null	hit	F	12019	2	1274804	1	12167	1	0	next
disjunction	positive	15	S_brown	hit	J	6997	2	1312306	1	7167	1	0	next
disjunction	positive	15	S_brown	hit	J	6340	2	1344808	1	6500	1	0	next
disjunction	negative	5	Null	hit	F	9224	2	1376644	1	9334	1	0	next
disjunction	positive	15	T_blue	hit	J	5754	2	1411312	1	5834	1	0	next
disjunction	negative	15	Null	hit	F	19865	2	1442481	1	20001	1	0	next
disjunction	negative	5	Null	hit	F	11011	2	1487817	1	11167	1	0	next
disjunction	positive	1	T_blue	hit	J	6189	2	1524320	1	6334	1	0	next
disjunction	negative	5	Null	hit	F	10682	2	1555988	1	10834	1	0	next
disjunction	negative	30	Null	hit	F	11317	2	1592157	1	11501	1	0	next
disjunction	negative	30	Null	hit	F	14002	2	1628993	1	14168	1	0	next
disjunction	positive	30	S_brown	hit	J	7937	2	1668496	1	8000	1	0	next
disjunction	positive	15	S_brown	hit	J	7086	2	1701831	1	7167	1	0	next
disjunction	negative	5	Null	hit	F	8022	2	1734333	1	8167	1	0	next
disjunction	negative	30	Null	hit	F	10042	2	1767835	1	10167	1	0	next
disjunction	positive	5	T_blue	hit	J	5582	2	1803338	1	5667	1	0	next
disjunction	positive	15	X_blue	hit	J	6577	2	1834340	1	6667	1	0	next
disjunction	negative	1	Null	hit	F	11857	2	1866342	1	12001	1	0	next
disjunction	negative	30	Null	hit	F	13882	2	1903677	1	14001	1	0	next
disjunction	positive	1	X_blue	hit	J	5587	2	1943013	1	5667	1	0	next
disjunction	positive	1	S_green	hit	J	7867	2	1974015	1	8000	1	0	next
disjunction	positive	1	S_brown	hit	J	5734	2	2007351	1	5834	1	0	next
disjunction	negative	5	Null	hit	F	6884	2	2038519	1	7000	1	0	next
disjunction	positive	15	T_blue	hit	J	5588	2	2070855	1	5667	1	0	next
disjunction	positive	30	X_blue	hit	J	4990	2	2101857	1	5167	1	0	next
disjunction	negative	30	Null	hit	F	8567	2	2132359	1	8667	1	0	next
disjunction	negative	1	Null	hit	F	8644	2	2166361	1	8834	1	0	next
disjunction	positive	1	S_brown	hit	J	10800	2	2200530	1	10834	1	0	next
disjunction	negative	1	Null	hit	F	8230	2	2236699	1	8334	1	0	next
disjunction	negative	5	Null	hit	F	10243	2	2270368	1	10334	1	0	next
disjunction	negative	15	Null	hit	F	9457	2	2306037	1	9501	1	0	next
disjunction	negative	1	Null	hit	F	7258	2	2340872	1	7334	1	0	next
disjunction	positive	30	S_green	hit	J	9473	2	2373541	1	9667	1	0	next
disjunction	positive	1	T_blue	hit	J	6468	2	2408543	1	6500	1	0	next
disjunction	negative	30	Null	hit	F	9355	2	2440379	1	9501	1	0	next
disjunction	positive	15	S_brown	hit	J	7000	2	2475214	1	7167	1	0	next
disjunction	positive	30	X_blue	hit	J	11299	2	2507716	1	11334	1	0	next
disjunction	positive	15	S_brown	hit	J	9351	2	2544385	1	9501	1	0	next
disjunction	negative	1	Null	hit	F	11959	2	2579221	1	12001	1	0	next
disjunction	negative	5	Null	hit	F	8383	2	2616557	1	8501	1	0	next
disjunction	positive	15	X_blue	hit	J	5749	2	2650392	1	5834	1	0	next
disjunction	positive	5	X_blue	hit	J	4661	2	2681561	1	4834	1	0	next
disjunction	negative	5	Null	hit	F	6813	2	2711729	1	7001	1	0	next
disjunction	positive	30	S_green	hit	J	6477	2	2744065	1	6667	1	0	next
disjunction	positive	5	S_brown	hit	J	5034	2	2776067	1	5167	1	0	next
disjunction	positive	15	S_brown	hit	J	4937	2	2806569	1	5000	1	0	next
disjunction	positive	30	S_green	incorrect	F	9483	2	2836904	1	9667	1	0	next
disjunction	negative	15	Null	hit	F	10481	2	2871906	1	10667	1	0	next
disjunction	positive	5	T_blue	hit	J	5359	2	2907909	1	5500	1	0	next
disjunction	negative	30	Null	hit	F	17404	2	2938744	1	17501	1	0	next
disjunction	positive	15	X_blue	hit	J	5131	2	2981580	1	5167	1	0	next
disjunction	positive	15	T_blue	hit	J	5509	2	3012082	1	5667	1	0	next
disjunction	negative	5	Null	hit	F	7626	2	3043084	1	7667	1	0	next
disjunction	negative	15	Null	hit	F	10946	2	3076086	1	11001	1	0	next
disjunction	negative	30	Null	hit	F	15572	2	3112422	1	15668	1	0	next
disjunction	negative	15	Null	hit	F	9288	2	3153424	1	9334	1	0	next
disjunction	negative	15	Null	hit	F	9342	2	3188093	1	9501	1	0	next
disjunction	negative	15	Null	hit	F	14185	2	3222929	1	14334	1	0	next
disjunction	negative	1	Null	hit	F	8276	2	3262598	1	8334	1	0	next
disjunction	positive	5	X_blue	hit	J	5650	2	3296267	1	5834	1	0	next
disjunction	positive	1	S_brown	hit	J	7280	2	3327435	1	7334	1	0	next
disjunction	negative	1	Null	hit	F	9012	2	3360104	1	9167	1	0	next
disjunction	negative	1	Null	hit	F	8114	2	3394606	1	8167	1	0	next
disjunction	negative	30	Null	hit	F	17488	2	3428109	1	17668	1	0	next
disjunction	positive	30	T_blue	hit	J	6010	2	3471111	1	6167	1	0	next
disjunction	positive	1	S_brown	hit	J	8587	2	3502613	1	8667	1	0	next
disjunction	positive	30	T_blue	hit	J	5947	2	3536616	1	6000	1	0	next
disjunction	positive	30	S_green	hit	J	12531	2	3567951	1	12667	1	0	next
disjunction	positive	1	S_green	hit	J	4929	2	3605953	1	5000	1	0	next
disjunction	positive	1	S_green	hit	J	5475	2	3636289	1	5667	1	0	next
disjunction	negative	1	Null	hit	F	8076	2	3667291	1	8167	1	0	next
disjunction	positive	1	S_brown	hit	J	6255	2	3700793	1	6334	1	0	next
disjunction	negative	5	Null	hit	F	7229	2	3732461	1	7334	1	0	next
disjunction	negative	5	Null	hit	F	5916	2	3765130	1	6000	1	0	next
disjunction	positive	1	X_blue	hit	J	6904	2	3796466	1	7000	1	0	next
disjunction	negative	15	Null	hit	F	19050	2	3828801	1	19168	1	0	next
disjunction	positive	30	S_brown	hit	J	8788	2	3873304	1	8834	1	0	next
disjunction	positive	1	S_green	hit	J	4697	2	3907473	1	4834	1	0	next
disjunction	positive	5	S_green	hit	J	7491	2	3937641	1	7667	1	0	next
disjunction	negative	5	Null	hit	F	7127	2	3970643	1	7167	1	0	next
disjunction	negative	1	Null	hit	F	9348	2	4003145	1	9501	1	0	next
disjunction	negative	15	Null	hit	F	7635	2	4037981	1	7834	1	0	next
disjunction	positive	30	X_blue	hit	J	5988	2	4071150	1	6167	1	0	next
disjunction	negative	5	Null	hit	F	6327	2	4102652	1	6500	1	0	next
disjunction	negative	15	Null	hit	F	6810	2	4134487	1	7001	1	0	next
disjunction	positive	5	S_green	hit	J	7437	2	4166823	1	7500	1	0	next
disjunction	positive	30	S_brown	hit	J	5640	2	4199658	1	5834	1	0	next
disjunction	negative	1	Null	hit	F	6634	2	4230827	1	6834	1	0	next
disjunction	negative	30	Null	incorrect	J	19268	2	4262995	1	19335	1	0	next
disjunction	negative	30	Null	hit	F	16676	2	4307665	1	16834	1	0	next
disjunction	negative	15	Null	hit	F	17871	2	4349834	1	18001	1	0	next
disjunction	positive	5	X_blue	hit	J	5896	2	4393171	1	6000	1	0	next
disjunction	positive	5	X_blue	hit	J	5276	2	4424506	1	5334	1	0	next
disjunction	positive	30	X_blue	hit	J	5010	2	4455175	1	5167	1	0	next
disjunction	positive	5	X_blue	hit	J	6671	2	4485677	1	6834	1	0	next
disjunction	negative	30	Null	hit	F	13223	2	4517845	1	13334	1	0	next
disjunction	negative	30	Null	hit	F	23032	2	4556514	1	23168	1	0	next
disjunction	negative	30	Null	hit	F	11815	2	4605017	1	12001	1	0	next
conjunction	positive	5	T_green	incorrect	F	8343	2	4703690	1	8501	1	0	next
conjunction	positive	1	T_green	hit	J	7628	2	4737526	1	7667	1	0	next
conjunction	positive	30	T_green	incorrect	F	19747	2	4770528	1	19835	1	0	next
conjunction	positive	30	T_green	hit	J	13618	2	4815698	1	13668	1	0	next
conjunction	positive	5	T_green	hit	J	5817	2	4854700	1	6000	1	0	next
