Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	positive	30	S_green	hit	J	14628	2	364745	1	14834	1	0	next
disjunction	negative	30	Null	hit	F	14461	2	404914	1	14668	1	0	next
disjunction	positive	5	S_brown	hit	J	10939	2	444916	1	11001	1	0	next
disjunction	negative	1	Null	hit	F	11724	2	481252	1	11834	1	0	next
disjunction	positive	30	S_green	hit	J	12796	2	518421	1	13001	1	0	next
disjunction	negative	5	Null	hit	F	9822	2	556757	1	10001	1	0	next
disjunction	positive	30	S_brown	hit	J	10487	2	592093	1	10667	1	0	next
disjunction	positive	15	S_brown	hit	J	10165	2	628095	1	10334	1	0	next
disjunction	positive	30	T_blue	hit	J	7458	2	663764	1	7501	1	0	next
disjunction	positive	5	T_blue	hit	J	17822	2	696600	1	18001	1	0	next
disjunction	positive	5	X_blue	hit	J	10968	2	739936	1	11167	1	0	next
disjunction	positive	5	T_blue	hit	J	4705	2	776438	1	4834	1	0	next
disjunction	positive	30	S_green	hit	J	10217	2	806607	1	10334	1	0	next
disjunction	positive	30	T_blue	hit	J	5110	2	842276	1	5167	1	0	next
disjunction	positive	15	S_brown	hit	J	7409	2	872778	1	7500	1	0	next
disjunction	negative	1	Null	hit	F	6414	2	905613	1	6500	1	0	next
disjunction	negative	15	Null	incorrect	J	9140	2	937448	1	9334	1	0	next
disjunction	negative	1	Null	hit	F	9511	2	972117	1	9667	1	0	next
disjunction	positive	15	T_blue	hit	J	4270	2	1007120	1	4334	1	0	next
disjunction	positive	15	S_green	hit	J	7882	2	1036788	1	8000	1	0	next
disjunction	positive	5	S_green	hit	J	5905	2	1070124	1	6000	1	0	next
disjunction	positive	5	S_green	hit	J	6573	2	1101459	1	6667	1	0	next
disjunction	negative	30	Null	incorrect	J	11053	2	1133461	1	11167	1	0	next
disjunction	negative	30	Null	hit	F	15029	2	1169963	1	15168	1	0	next
disjunction	positive	30	S_green	hit	J	6528	2	1210466	1	6667	1	0	next
disjunction	positive	15	S_brown	hit	J	8608	2	1242468	1	8667	1	0	next
disjunction	positive	15	S_brown	hit	J	5649	2	1276471	1	5834	1	0	next
disjunction	negative	1	Null	hit	F	7279	2	1307639	1	7334	1	0	next
disjunction	negative	30	Null	hit	F	12530	2	1340308	1	12668	1	0	next
disjunction	negative	5	Null	hit	F	11328	2	1378310	1	11501	1	0	next
disjunction	positive	1	S_brown	hit	J	6817	2	1415146	1	7000	1	0	next
disjunction	positive	15	S_green	hit	J	5359	2	1447482	1	5500	1	0	next
disjunction	positive	15	X_blue	hit	J	6844	2	1478317	1	7000	1	0	next
disjunction	positive	15	X_blue	hit	J	3471	2	1510652	1	3667	1	0	next
disjunction	positive	1	T_blue	hit	J	4550	2	1539654	1	4667	1	0	next
disjunction	negative	1	Null	hit	F	5749	2	1569656	1	5834	1	0	next
disjunction	negative	5	Null	incorrect	J	7380	2	1600825	1	7500	1	0	next
disjunction	positive	5	T_blue	hit	J	4146	2	1633660	1	4334	1	0	next
disjunction	positive	5	S_green	hit	J	6957	2	1663329	1	7000	1	0	next
disjunction	negative	5	Null	hit	F	10944	2	1695664	1	11001	1	0	next
disjunction	negative	15	Null	incorrect	J	5808	2	1732000	1	6000	1	0	next
disjunction	positive	1	T_blue	hit	J	3435	2	1763335	1	3500	1	0	next
disjunction	negative	15	Null	hit	F	7241	2	1792171	1	7334	1	0	next
disjunction	positive	5	S_brown	hit	J	12011	2	1824839	1	12167	1	0	next
disjunction	negative	5	Null	hit	F	13072	2	1862342	1	13167	1	0	next
disjunction	positive	15	X_blue	hit	J	6246	2	1900844	1	6334	1	0	next
disjunction	negative	15	Null	hit	F	8180	2	1932513	1	8334	1	0	next
