Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	negative	30	Null	hit	F	8406	2	2662534	1	8501	1	0	next
disjunction	negative	30	Null	hit	F	4973	2	2696370	1	5167	1	0	next
disjunction	positive	1	S_green	hit	J	5991	2	2726872	1	6167	1	0	next
disjunction	positive	15	T_blue	hit	J	6973	2	2758374	1	7167	1	0	next
disjunction	positive	30	T_blue	hit	J	5348	2	2790876	1	5500	1	0	next
disjunction	negative	15	Null	hit	F	6033	2	2821711	1	6167	1	0	next
disjunction	negative	15	Null	hit	F	8133	2	2853213	1	8167	1	0	next
disjunction	negative	30	Null	hit	F	6951	2	2886715	1	7000	1	0	next
disjunction	positive	15	S_brown	hit	J	5818	2	2919051	1	6000	1	0	next
disjunction	negative	30	Null	hit	F	8722	2	2950386	1	8834	1	0	next
disjunction	positive	5	S_green	hit	J	4475	2	2984555	1	4667	1	0	next
disjunction	positive	5	X_blue	hit	J	5033	2	3014557	1	5167	1	0	next
disjunction	positive	15	X_blue	hit	J	6692	2	3045059	1	6834	1	0	next
disjunction	negative	30	Null	hit	F	9085	2	3077227	1	9167	1	0	next
disjunction	negative	15	Null	hit	F	7063	2	3111730	1	7167	1	0	next
disjunction	positive	15	S_brown	hit	J	6402	2	3144232	1	6500	1	0	next
disjunction	negative	1	Null	incorrect	J	5926	2	3176067	1	6000	1	0	next
disjunction	negative	15	Null	hit	F	7396	2	3207402	1	7501	1	0	next
disjunction	positive	1	S_brown	hit	J	4482	2	3240238	1	4667	1	0	next
disjunction	negative	1	Null	hit	F	7445	2	3270240	1	7500	1	0	next
disjunction	negative	1	Null	hit	F	5961	2	3303075	1	6000	1	0	next
disjunction	positive	5	T_blue	hit	J	5507	2	3334411	1	5667	1	0	next
disjunction	positive	15	T_blue	hit	J	5226	2	3365413	1	5334	1	0	next
disjunction	positive	30	T_blue	hit	J	5285	2	3396081	1	5334	1	0	next
disjunction	negative	30	Null	hit	F	6291	2	3426750	1	6334	1	0	next
disjunction	negative	30	Null	hit	F	8546	2	3458419	1	8667	1	0	next
disjunction	negative	1	Null	hit	F	7181	2	3492421	1	7334	1	0	next
disjunction	positive	30	T_blue	hit	J	5074	2	3525089	1	5167	1	0	next
disjunction	negative	1	Null	hit	F	4662	2	3555591	1	4834	1	0	next
disjunction	positive	30	T_blue	hit	J	4564	2	3585760	1	4667	1	0	next
disjunction	negative	30	Null	hit	F	6084	2	3615762	1	6167	1	0	next
disjunction	positive	5	S_brown	incorrect	F	6422	2	3647264	1	6500	1	0	next
disjunction	negative	1	Null	hit	F	4347	2	3679099	1	4500	1	0	next
disjunction	negative	1	Null	hit	F	4912	2	3708935	1	5000	1	0	next
disjunction	positive	5	S_green	hit	J	5461	2	3739270	1	5500	1	0	next
disjunction	positive	30	S_green	hit	J	4550	2	3770105	1	4667	1	0	next
disjunction	negative	1	Null	hit	F	5105	2	3800107	1	5167	1	0	next
disjunction	positive	1	X_blue	hit	J	4521	2	3830609	1	4667	1	0	next
disjunction	negative	1	Null	hit	F	4922	2	3860611	1	5000	1	0	next
disjunction	negative	30	Null	hit	F	10585	2	3890946	1	10667	1	0	next
disjunction	positive	30	X_blue	hit	J	4663	2	3926949	1	4834	1	0	next
disjunction	positive	5	S_brown	hit	J	6016	2	3957117	1	6167	1	0	next
disjunction	negative	30	Null	hit	F	7155	2	3988619	1	7334	1	0	next
disjunction	negative	30	Null	hit	F	6811	2	4021288	1	7000	1	0	next
