Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	negative	15	Null	hit	F	29844	2	135874	1	30002	1	0	next
disjunction	positive	5	X_blue	hit	J	13865	2	191211	1	14001	1	0	next
disjunction	positive	1	T_blue	hit	J	6371	2	230547	1	6500	1	0	next
disjunction	negative	15	Null	hit	F	13577	2	262382	1	13668	1	0	next
disjunction	positive	5	S_green	hit	J	10573	2	301385	1	10667	1	0	next
disjunction	negative	1	Null	hit	F	8174	2	337387	1	8334	1	0	next
disjunction	positive	1	X_blue	hit	J	7624	2	371056	1	7834	1	0	next
disjunction	negative	1	Null	hit	F	14617	2	404225	1	14668	1	0	next
disjunction	negative	5	Null	hit	F	8535	2	444228	1	8667	1	0	next
disjunction	negative	1	Null	incorrect	J	8454	2	478230	1	8500	1	0	next
disjunction	positive	30	S_brown	hit	J	13339	2	512065	1	13501	1	0	next
disjunction	negative	1	Null	hit	F	6184	2	550901	1	6334	1	0	next
disjunction	positive	15	S_brown	hit	J	12277	2	582570	1	12334	1	0	next
disjunction	negative	1	Null	hit	F	8848	2	620239	1	9001	1	0	next
disjunction	positive	5	X_blue	hit	J	7954	2	654575	1	8001	1	0	next
disjunction	negative	5	Null	incorrect	J	12538	2	687910	1	12667	1	0	next
disjunction	negative	15	Null	hit	F	10697	2	725912	1	10834	1	0	next
disjunction	negative	15	Null	hit	F	19970	2	762082	1	20168	1	0	next
disjunction	positive	1	T_blue	hit	J	6627	2	807584	1	6667	1	0	next
disjunction	negative	1	Null	hit	F	8227	2	839587	1	8334	1	0	next
disjunction	negative	1	Null	hit	F	6880	2	873255	1	7000	1	0	next
disjunction	negative	15	Null	hit	F	11668	2	905591	1	11834	1	0	next
disjunction	positive	5	S_brown	hit	J	8256	2	942760	1	8334	1	0	next
disjunction	negative	15	Null	hit	F	14748	2	976429	1	14834	1	0	next
disjunction	negative	30	Null	hit	F	18579	2	1016598	1	18668	1	0	next
