Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	positive	30	S_green	hit	J	32517	2	147398	1	32669	1	0	next
disjunction	negative	5	Null	hit	F	10034	2	205402	1	10167	1	0	next
disjunction	negative	1	Null	hit	F	16132	2	240904	1	16168	1	0	next
disjunction	negative	15	Null	hit	F	9512	2	282407	1	9667	1	0	next
disjunction	positive	5	S_brown	hit	J	10188	2	317409	1	10334	1	0	next
disjunction	negative	15	Null	hit	F	6681	2	353078	1	6834	1	0	next
disjunction	negative	5	Null	hit	F	7153	2	385247	1	7334	1	0	next
disjunction	positive	30	S_brown	hit	J	10009	2	417915	1	10167	1	0	next
disjunction	negative	5	Null	hit	F	7305	2	453418	1	7334	1	0	next
disjunction	negative	30	Null	hit	F	14318	2	486087	1	14501	1	0	next
disjunction	positive	5	T_blue	hit	J	7761	2	525922	1	7834	1	0	next
disjunction	negative	30	Null	hit	F	9476	2	559091	1	9667	1	0	next
disjunction	negative	5	Null	hit	F	8393	2	594093	1	8501	1	0	next
disjunction	positive	30	X_blue	hit	J	10879	2	627929	1	11001	1	0	next
disjunction	positive	30	S_green	hit	J	14066	2	664265	1	14168	1	0	next
disjunction	negative	15	Null	hit	F	16003	2	703767	1	16168	1	0	next
disjunction	negative	1	Null	hit	F	15464	2	745270	1	15668	1	0	next
disjunction	negative	1	Null	hit	F	13017	2	786273	1	13167	1	0	next
disjunction	positive	30	S_brown	hit	J	8437	2	824775	1	8501	1	0	next
disjunction	positive	5	S_green	hit	J	6281	2	858610	1	6334	1	0	next
disjunction	negative	15	Null	hit	F	18776	2	890279	1	18835	1	0	next
disjunction	positive	1	S_brown	hit	J	10128	2	934449	1	10167	1	0	next
disjunction	positive	5	X_blue	hit	J	6784	2	969951	1	6834	1	0	next
disjunction	negative	5	Null	hit	F	9177	2	1002120	1	9334	1	0	next
disjunction	positive	5	S_brown	hit	J	6028	2	1036789	1	6167	1	0	next
disjunction	negative	15	Null	hit	F	6053	2	1068291	1	6167	1	0	next
disjunction	positive	5	X_blue	hit	J	8467	2	1099793	1	8501	1	0	next
disjunction	negative	15	Null	hit	F	8871	2	1133628	1	9001	1	0	next
disjunction	positive	5	T_blue	hit	J	5898	2	1167964	1	6000	1	0	next
disjunction	negative	30	Null	hit	F	13603	2	1199299	1	13668	1	0	next
disjunction	positive	5	T_blue	hit	J	5322	2	1238302	1	5500	1	0	next
disjunction	positive	15	X_blue	incorrect	F	5365	2	1269137	1	5500	1	0	next
disjunction	negative	5	Null	incorrect	J	5094	2	1299972	1	5167	1	0	next
disjunction	negative	1	Null	hit	F	13953	2	1330474	1	14001	1	0	next
disjunction	positive	15	X_blue	hit	J	5338	2	1369810	1	5500	1	0	next
disjunction	positive	1	S_brown	hit	J	7940	2	1400645	1	8001	1	0	next
disjunction	negative	5	Null	incorrect	J	4525	2	1433981	1	4667	1	0	next
disjunction	negative	15	Null	hit	F	11167	2	1463983	1	11334	1	0	next
disjunction	negative	15	Null	hit	F	9059	2	1500652	1	9167	1	0	next
disjunction	negative	15	Null	hit	F	7038	2	1535154	1	7167	1	0	next
disjunction	negative	5	Null	hit	F	7174	2	1567656	1	7334	1	0	next
disjunction	positive	5	T_blue	hit	J	6828	2	1600325	1	7000	1	0	next
disjunction	positive	15	X_blue	hit	J	4415	2	1632660	1	4500	1	0	next
disjunction	positive	5	X_blue	hit	J	4500	2	1662495	1	4667	1	0	next
disjunction	negative	5	Null	hit	F	7299	2	1692497	1	7334	1	0	next
disjunction	positive	30	S_green	hit	J	8068	2	1725166	1	8167	1	0	next
disjunction	negative	1	Null	hit	F	11526	2	1758668	1	11667	1	0	next
disjunction	negative	30	Null	hit	F	17729	2	1795671	1	17834	1	0	next
disjunction	negative	1	Null	hit	F	14716	2	1838840	1	14834	1	0	next
disjunction	negative	30	Null	hit	F	13909	2	1879009	1	14001	1	0	next
disjunction	negative	1	Null	hit	F	10093	2	1918345	1	10167	1	0	next
disjunction	negative	1	Null	hit	F	5633	2	1953847	1	5667	1	0	next
disjunction	positive	5	S_green	incorrect	F	8391	2	1984849	1	8501	1	0	next
disjunction	positive	30	X_blue	hit	J	6397	2	2018685	1	6500	1	0	next
disjunction	positive	15	T_blue	hit	J	4804	2	2050520	1	4834	1	0	next
disjunction	positive	15	S_brown	hit	J	10474	2	2080689	1	10667	1	0	next
disjunction	positive	5	X_blue	hit	J	5677	2	2116691	1	5834	1	0	next
disjunction	negative	1	Null	hit	F	6829	2	2147860	1	7000	1	0	next
disjunction	positive	15	S_green	hit	J	6812	2	2180195	1	7000	1	0	next
disjunction	negative	15	Null	hit	F	11279	2	2212531	1	11334	1	0	next
disjunction	positive	1	S_brown	hit	J	8527	2	2249200	1	8667	1	0	next
disjunction	positive	30	T_blue	hit	J	6686	2	2283202	1	6834	1	0	next
disjunction	positive	1	S_green	hit	J	7962	2	2315371	1	8000	1	0	next
disjunction	negative	5	Null	hit	F	8384	2	2348706	1	8501	1	0	next
disjunction	positive	30	S_brown	hit	J	8153	2	2382542	1	8334	1	0	next
disjunction	positive	30	S_green	hit	J	7284	2	2416210	1	7334	1	0	next
disjunction	positive	30	T_blue	hit	J	5656	2	2448879	1	5834	1	0	next
disjunction	negative	1	Null	hit	F	9845	2	2480048	1	10001	1	0	next
disjunction	positive	1	X_blue	hit	J	14193	2	2515383	1	14334	1	0	next
disjunction	positive	15	S_brown	hit	J	5724	2	2555053	1	5834	1	0	next
disjunction	negative	15	Null	hit	F	8318	2	2586221	1	8501	1	0	next
disjunction	positive	1	S_brown	hit	J	7442	2	2620057	1	7500	1	0	next
disjunction	positive	30	S_brown	hit	J	7087	2	2652892	1	7167	1	0	next
disjunction	negative	5	Null	hit	F	8663	2	2685394	1	8834	1	0	next
