Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	positive	15	T_blue	hit	J	8965	2	74874	1	9167	1	0	next
disjunction	positive	15	X_blue	hit	J	12228	2	109376	1	12334	1	0	next
disjunction	positive	5	S_brown	hit	J	18079	2	147045	1	18168	1	0	next
disjunction	positive	5	X_blue	hit	J	10258	2	190548	1	10334	1	0	next
disjunction	positive	5	S_brown	incorrect	F	16026	2	226217	1	16168	1	0	next
disjunction	positive	1	S_green	incorrect	F	22365	2	267720	1	22501	1	0	next
disjunction	positive	15	S_green	hit	J	11493	2	315556	1	11667	1	0	next
disjunction	negative	5	Null	incorrect	J	11772	2	352558	1	11834	1	0	next
disjunction	positive	30	T_blue	hit	J	13321	2	389727	1	13501	1	0	next
disjunction	positive	30	T_blue	hit	J	6805	2	428563	1	6834	1	0	next
disjunction	positive	30	S_brown	incorrect	F	17839	2	460732	1	18001	1	0	next
disjunction	negative	1	Null	incorrect	J	11303	2	504068	1	11501	1	0	next
disjunction	negative	15	Null	hit	F	16227	2	540904	1	16334	1	0	next
disjunction	positive	15	T_blue	hit	J	9119	2	582573	1	9167	1	0	next
disjunction	positive	5	X_blue	hit	J	11102	2	617075	1	11167	1	0	next
disjunction	positive	5	X_blue	hit	J	8036	2	653578	1	8167	1	0	next
disjunction	positive	15	S_green	incorrect	F	10379	2	687080	1	10501	1	0	next
disjunction	positive	1	X_blue	hit	J	7021	2	722915	1	7167	1	0	next
disjunction	negative	15	Null	hit	F	19960	2	755418	1	20001	1	0	next
disjunction	negative	30	Null	hit	F	13024	2	800754	1	13168	1	0	next
disjunction	negative	15	Null	hit	F	14362	2	839256	1	14501	1	0	next
disjunction	negative	1	Null	hit	F	20288	2	879092	1	20335	1	0	next
disjunction	negative	15	Null	hit	F	13179	2	924762	1	13334	1	0	next
disjunction	negative	30	Null	hit	F	17877	2	963431	1	18001	1	0	next
disjunction	positive	30	X_blue	hit	J	8457	2	1006767	1	8501	1	0	next
disjunction	negative	15	Null	hit	F	7583	2	1040603	1	7667	1	0	next
disjunction	positive	5	S_green	hit	J	13304	2	1073605	1	13334	1	0	next
disjunction	positive	15	S_brown	incorrect	F	4876	2	1112274	1	5000	1	0	next
disjunction	positive	15	S_green	hit	J	6697	2	1142609	1	6834	1	0	next
disjunction	positive	15	S_green	incorrect	F	6530	2	1174778	1	6667	1	0	next
disjunction	positive	1	T_blue	hit	J	8769	2	1206780	1	8834	1	0	next
disjunction	negative	5	Null	hit	F	18121	2	1240949	1	18168	1	0	next
disjunction	negative	15	Null	hit	F	14624	2	1284452	1	14668	1	0	next
disjunction	negative	15	Null	hit	F	13976	2	1324454	1	14168	1	0	next
disjunction	negative	30	Null	hit	F	15757	2	1363957	1	15834	1	0	next
disjunction	negative	15	Null	hit	F	12831	2	1405126	1	13001	1	0	next
disjunction	negative	30	Null	hit	F	8573	2	1443462	1	8667	1	0	next
disjunction	negative	15	Null	hit	F	11851	2	1477464	1	12001	1	0	next
disjunction	negative	5	Null	hit	F	10838	2	1514800	1	11001	1	0	next
disjunction	negative	30	Null	hit	F	9387	2	1551135	1	9501	1	0	next
disjunction	negative	1	Null	hit	F	7989	2	1585971	1	8167	1	0	next
disjunction	positive	30	T_blue	incorrect	F	17685	2	1619473	1	17834	1	0	next
disjunction	positive	1	S_brown	incorrect	F	9718	2	1662642	1	9834	1	0	next
disjunction	positive	30	T_blue	hit	J	7349	2	1697811	1	7500	1	0	next
disjunction	negative	5	Null	hit	F	18194	2	1730647	1	18335	1	0	next
disjunction	positive	1	S_green	hit	J	12286	2	1774316	1	12334	1	0	next
disjunction	positive	5	S_green	hit	J	8858	2	1811985	1	9001	1	0	next
disjunction	positive	5	T_blue	hit	J	5884	2	1846321	1	6000	1	0	next
disjunction	negative	15	Null	hit	F	16311	2	1877656	1	16501	1	0	next
disjunction	positive	15	T_blue	hit	J	6799	2	1919492	1	6834	1	0	next
disjunction	negative	30	Null	hit	F	11750	2	1951661	1	11834	1	0	next
disjunction	negative	1	Null	incorrect	J	9137	2	1988830	1	9167	1	0	next
disjunction	negative	5	Null	hit	F	11757	2	2023332	1	11834	1	0	next
disjunction	negative	15	Null	hit	F	13951	2	2060501	1	14001	1	0	next
disjunction	negative	30	Null	incorrect	J	10616	2	2099837	1	10667	1	0	next
disjunction	negative	15	Null	hit	F	8372	2	2135840	1	8501	1	0	next
disjunction	negative	15	Null	hit	F	8461	2	2169675	1	8501	1	0	next
disjunction	positive	15	T_blue	hit	J	7263	2	2203511	1	7334	1	0	next
disjunction	negative	5	Null	hit	F	11556	2	2236179	1	11667	1	0	next
disjunction	negative	5	Null	incorrect	J	6716	2	2273182	1	6834	1	0	next
disjunction	positive	5	S_brown	incorrect	F	6707	2	2305350	1	6834	1	0	next
disjunction	negative	15	Null	hit	F	15818	2	2337519	1	16001	1	0	next
disjunction	negative	1	Null	hit	F	21682	2	2378855	1	21835	1	0	next
disjunction	positive	15	T_blue	hit	J	8434	2	2426025	1	8501	1	0	next
disjunction	positive	5	S_brown	hit	J	20679	2	2459860	1	20835	1	0	next
disjunction	positive	15	S_brown	hit	J	13072	2	2506030	1	13168	1	0	next
disjunction	positive	1	S_green	hit	J	10253	2	2544532	1	10334	1	0	next
disjunction	negative	15	Null	hit	F	21302	2	2580201	1	21501	1	0	next
disjunction	positive	5	S_green	hit	J	11111	2	2627038	1	11167	1	0	next
disjunction	positive	1	T_blue	hit	J	9644	2	2663540	1	9834	1	0	next
disjunction	positive	5	S_green	hit	J	18637	2	2698709	1	18668	1	0	next
disjunction	positive	1	T_blue	hit	J	12715	2	2742712	1	12834	1	0	next
disjunction	positive	1	S_green	hit	J	11187	2	2780881	1	11334	1	0	next
disjunction	positive	5	X_blue	hit	J	16759	2	2817550	1	16834	1	0	next
disjunction	positive	5	X_blue	hit	J	6915	2	2859719	1	7000	1	0	next
disjunction	negative	5	Null	hit	F	21459	2	2892055	1	21501	1	0	next
disjunction	negative	30	Null	incorrect	J	16381	2	2938891	1	16501	1	0	next
disjunction	positive	5	S_green	hit	J	10227	2	2980727	1	10334	1	0	next
