Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	negative	15	Null	hit	F	24056	2	199311	1	24157	1	0	next
disjunction	negative	15	Null	hit	F	15842	2	248803	1	16001	1	0	next
disjunction	negative	30	Null	hit	F	16430	2	290139	1	16501	1	0	next
disjunction	negative	5	Null	hit	F	10754	2	331975	1	10834	1	0	next
disjunction	positive	15	S_green	incorrect	F	12344	2	368144	1	12501	1	0	next
disjunction	positive	5	X_blue	hit	J	7950	2	405980	1	8001	1	0	next
disjunction	positive	5	X_blue	hit	J	5174	2	439316	1	5334	1	0	next
disjunction	positive	15	S_green	incorrect	F	15312	2	469984	1	15501	1	0	next
disjunction	negative	5	Null	hit	F	53036	2	510820	1	53170	1	0	next
disjunction	negative	1	Null	hit	F	32613	2	589325	1	32669	1	0	next
disjunction	positive	15	X_blue	hit	J	6446	2	647329	1	6500	1	0	next
disjunction	negative	15	Null	hit	F	16374	2	679164	1	16501	1	0	next
disjunction	positive	30	S_green	incorrect	F	30383	2	721000	1	30502	1	0	next
disjunction	positive	5	S_green	hit	J	27826	2	776837	1	28002	1	0	next
disjunction	negative	15	Null	hit	F	21847	2	830174	1	22001	1	0	next
disjunction	positive	1	S_brown	hit	J	19310	2	877510	1	19501	1	0	next
disjunction	positive	1	S_green	hit	J	6956	2	922347	1	7000	1	0	next
disjunction	negative	15	Null	hit	F	24700	2	954682	1	24835	1	0	next
disjunction	negative	1	Null	hit	F	27972	2	1004852	1	28168	1	0	next
disjunction	negative	30	Null	hit	F	69671	2	1058355	1	69838	1	0	next
disjunction	positive	15	T_blue	hit	J	7142	2	1153528	1	7334	1	0	next
disjunction	positive	15	S_green	hit	J	25995	2	1186197	1	26168	1	0	next
disjunction	positive	15	T_blue	hit	J	6812	2	1237700	1	7000	1	0	next
disjunction	negative	15	Null	hit	F	17997	2	1270036	1	18168	1	0	next
disjunction	positive	5	X_blue	hit	J	5533	2	1313538	1	5667	1	0	next
