Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	negative	1	Null	hit	F	17885	2	39875	1	17924	1	0	next
disjunction	negative	15	Null	hit	F	13505	2	83134	1	13668	1	0	next
disjunction	positive	30	T_blue	hit	J	9065	2	122136	1	9167	1	0	next
disjunction	negative	1	Null	hit	F	10403	2	156638	1	10501	1	0	next
disjunction	positive	1	T_blue	hit	J	8008	2	192474	1	8167	1	0	next
disjunction	positive	1	S_brown	hit	J	10346	2	225976	1	10501	1	0	next
disjunction	positive	1	S_green	hit	J	6512	2	261812	1	6667	1	0	next
disjunction	negative	15	Null	hit	F	10189	2	293814	1	10334	1	0	next
disjunction	positive	30	T_blue	hit	J	6048	2	329483	1	6167	1	0	next
disjunction	negative	30	Null	hit	F	7502	2	360985	1	7667	1	0	next
disjunction	positive	5	S_brown	hit	J	13380	2	393987	1	13501	1	0	next
disjunction	positive	30	X_blue	hit	J	6064	2	432823	1	6167	1	0	next
disjunction	negative	1	Null	hit	F	7363	2	464325	1	7501	1	0	next
disjunction	positive	1	S_brown	hit	J	7493	2	497160	1	7667	1	0	next
disjunction	positive	30	X_blue	hit	J	5687	2	530162	1	5834	1	0	next
disjunction	positive	1	T_blue	hit	J	5559	2	561331	1	5667	1	0	next
disjunction	negative	30	Null	hit	F	23199	2	592333	1	23335	1	0	next
disjunction	positive	1	T_blue	hit	J	6369	2	641003	1	6500	1	0	next
disjunction	positive	1	T_blue	hit	J	5257	2	672838	1	5334	1	0	next
disjunction	positive	15	X_blue	hit	J	5311	2	703507	1	5500	1	0	next
disjunction	positive	1	X_blue	hit	J	4553	2	734342	1	4667	1	0	next
disjunction	negative	30	Null	hit	F	6551	2	764344	1	6667	1	0	next
disjunction	positive	5	X_blue	hit	J	4149	2	796346	1	4334	1	0	next
disjunction	negative	15	Null	hit	F	8403	2	826015	1	8501	1	0	next
disjunction	negative	15	Null	hit	F	5768	2	859850	1	5834	1	0	next
disjunction	positive	1	S_green	hit	J	5639	2	891019	1	5834	1	0	next
disjunction	negative	30	Null	hit	F	7593	2	922187	1	7667	1	0	next
disjunction	negative	5	Null	hit	F	9310	2	955190	1	9501	1	0	next
disjunction	negative	1	Null	incorrect	J	7120	2	990025	1	7167	1	0	next
disjunction	negative	30	Null	hit	F	6454	2	1022527	1	6500	1	0	next
disjunction	negative	5	Null	hit	F	6299	2	1054363	1	6334	1	0	next
disjunction	negative	15	Null	hit	F	6792	2	1086031	1	6834	1	0	next
disjunction	positive	30	S_green	incorrect	F	5825	2	1118200	1	6000	1	0	next
disjunction	negative	15	Null	hit	F	9530	2	1149535	1	9667	1	0	next
disjunction	negative	1	Null	hit	F	10049	2	1184538	1	10167	1	0	next
disjunction	positive	5	T_blue	hit	J	6227	2	1220040	1	6334	1	0	next
disjunction	negative	1	Null	hit	F	5612	2	1251709	1	5667	1	0	next
disjunction	negative	5	Null	hit	F	7239	2	1282711	1	7334	1	0	next
disjunction	positive	15	X_blue	hit	J	4650	2	1315379	1	4834	1	0	next
disjunction	negative	1	Null	hit	F	10646	2	1345548	1	10834	1	0	next
disjunction	positive	5	X_blue	hit	J	5514	2	1381717	1	5667	1	0	next
disjunction	negative	15	Null	hit	F	7154	2	1412719	1	7334	1	0	next
disjunction	negative	15	Null	hit	F	6166	2	1445388	1	6334	1	0	next
disjunction	positive	1	T_blue	hit	J	4265	2	1477056	1	4334	1	0	next
disjunction	negative	30	Null	hit	F	8668	2	1506725	1	8834	1	0	next
disjunction	positive	30	X_blue	hit	J	6181	2	1540894	1	6334	1	0	next
disjunction	negative	5	Null	hit	F	6033	2	1572563	1	6167	1	0	next
disjunction	positive	15	S_brown	incorrect	F	10216	2	1604065	1	10334	1	0	next
disjunction	positive	1	X_blue	hit	J	5428	2	1639734	1	5500	1	0	next
disjunction	negative	30	Null	hit	F	8189	2	1670569	1	8334	1	0	next
disjunction	negative	1	Null	hit	F	9244	2	1704238	1	9334	1	0	next
disjunction	positive	5	X_blue	hit	J	5775	2	1738907	1	5834	1	0	next
disjunction	positive	15	S_green	hit	J	8208	2	1770075	1	8334	1	0	next
